"","location_name","data_date","submitted_date","Province","District","malaria_rdt_0-4","malaria_rdt_5-14","malaria_rdt_15","malaria_tot","newid"
"776","Facility 3",2020-07-27,2020-07-27,"North","Dingo",3,8,6,17,3
"777","Facility 25",2020-07-26,2020-07-27,"North","Bolo",3,2,2,7,25
"778","Facility 55",2020-07-26,2020-07-27,"North","Bolo",12,3,22,37,55
"779","Facility 40",2020-07-26,2020-07-27,"North","Barnard",23,11,27,61,40
"780","Facility 27",2020-06-26,2020-07-27,"North","Spring",8,4,5,17,27
"781","Facility 27",2020-07-26,2020-07-27,"North","Spring",8,4,5,17,27
"782","Facility 16",2020-07-26,2020-07-27,"North","Barnard",31,29,15,75,16
"783","Facility 48",2020-07-26,2020-07-27,"North","Dingo",12,3,13,28,48
"784","Facility 24",2020-07-26,2020-07-27,"North","Bolo",6,4,26,36,24
"785","Facility 24",2020-07-25,2020-07-27,"North","Bolo",5,7,18,30,24
"786","Facility 24",2020-07-24,2020-07-27,"North","Bolo",23,13,58,94,24
"787","Facility 32",2020-07-26,2020-07-26,"North","Spring",26,25,24,75,32
"788","Facility 5",2020-07-17,2020-07-21,"North","Bolo",2,0,0,2,5
"789","Facility 5",2020-07-16,2020-07-21,"North","Bolo",10,19,15,44,5
"790","Facility 9",2020-07-20,2020-07-21,"North","Spring",19,17,41,77,9
"791","Facility 47",2020-07-20,2020-07-21,"North","Barnard",37,18,19,74,47
"792","Facility 38",2020-07-20,2020-07-21,"North","Bolo",9,10,9,28,38
"793","Facility 31",2020-07-20,2020-07-21,"North","Dingo",14,4,13,31,31
"794","Facility 31",2020-07-19,2020-07-21,"North","Dingo",7,13,23,43,31
"795","Facility 54",2020-07-20,2020-07-21,"North","Barnard",20,34,22,76,54
"796","Facility 54",2020-07-19,2020-07-21,"North","Barnard",26,17,19,62,54
"797","Facility 42",2020-07-20,2020-07-21,"North","Dingo",25,8,31,64,42
"798","Facility 24",2020-07-20,2020-07-21,"North","Bolo",24,7,78,109,24
"799","Facility 60",2020-07-20,2020-07-21,"North","Bolo",12,9,21,42,60
"800","Facility 44",2020-07-18,2020-07-21,"North","Barnard",46,28,36,110,44
"801","Facility 49",2020-07-20,2020-07-21,"North","Dingo",3,1,6,10,49
"802","Facility 21",2020-07-21,2020-07-21,"North","Bolo",32,10,2,44,21
"803","Facility 53",2020-07-20,2020-07-21,"North","Bolo",29,4,4,37,53
"804","Facility 13",2020-07-20,2020-07-21,"North","Bolo",0,0,0,0,13
"805","Facility 16",2020-07-20,2020-07-21,"North","Barnard",0,2,0,2,16
"806","Facility 4",2020-07-18,2020-07-21,"North","Bolo",23,39,34,96,4
"807","Facility 15",2020-07-21,2020-07-21,"North","Barnard",27,13,28,68,15
"808","Facility 46",2020-07-20,2020-07-21,"North","Dingo",2,3,14,19,46
"809","Facility 46",2020-07-19,2020-07-21,"North","Dingo",3,2,10,15,46
"810","Facility 41",2020-07-10,2020-07-21,"North","Barnard",1,5,7,13,41
"811","Facility 27",2020-07-20,2020-07-21,"North","Spring",9,5,7,21,27
"812","Facility 41",2020-07-09,2020-07-21,"North","Barnard",0,1,20,21,41
"813","Facility 27",2020-07-19,2020-07-21,"North","Spring",5,9,1,15,27
"814","Facility 41",2020-07-08,2020-07-21,"North","Barnard",16,9,40,65,41
"815","Facility 41",2020-07-06,2020-07-21,"North","Barnard",8,3,9,20,41
"816","Facility 12",2020-07-20,2020-07-21,"North","Dingo",49,47,62,158,12
"817","Facility 41",2020-07-20,2020-07-21,"North","Barnard",19,14,39,72,41
"818","Facility 29",2020-07-20,2020-07-21,"North","Dingo",19,27,31,77,29
"819","Facility 40",2020-07-20,2020-07-21,"North","Barnard",8,7,4,19,40
"820","Facility 55",2020-07-20,2020-07-21,"North","Bolo",20,6,29,55,55
"821","Facility 3",2020-07-21,2020-07-21,"North","Dingo",14,5,15,34,3
"822","Facility 18",2020-07-20,2020-07-21,"North","Bolo",5,2,8,15,18
"823","Facility 45",2020-07-20,2020-07-21,"North","Barnard",47,71,62,180,45
"824","Facility 26",2020-07-20,2020-07-21,"North","Bolo",7,0,7,14,26
"825","Facility 48",2020-07-20,2020-07-21,"North","Dingo",10,10,16,36,48
"826","Facility 61",2020-07-19,2020-07-20,"North","Barnard",6,5,3,14,61
"827","Facility 26",2020-07-19,2020-07-20,"North","Bolo",7,0,7,14,26
"828","Facility 31",2020-07-18,2020-07-20,"North","Dingo",14,15,26,55,31
"829","Facility 31",2020-07-15,2020-07-20,"North","Dingo",13,15,16,44,31
"830","Facility 22",2020-07-20,2020-07-20,"North","Bolo",11,3,18,32,22
"831","Facility 52",2020-07-19,2020-07-20,"North","Bolo",8,5,32,45,52
"832","Facility 57",2020-07-20,2020-07-20,"North","Barnard",15,12,11,38,57
"833","Facility 34",2020-07-20,2020-07-20,"North","Dingo",11,5,24,40,34
"834","Facility 1",2020-07-19,2020-07-20,"North","Spring",19,18,37,74,1
"835","Facility 4",2020-07-20,2020-07-20,"North","Bolo",29,11,20,60,4
"836","Facility 14",2020-07-20,2020-07-20,"North","Dingo",8,7,13,28,14
"837","Facility 7",2020-07-19,2020-07-20,"North","Spring",13,10,20,43,7
"838","Facility 35",2020-07-19,2020-07-20,"North","Spring",52,50,124,226,35
"839","Facility 35",2020-07-18,2020-07-20,"North","Spring",83,45,135,263,35
"840","Facility 30",2020-07-20,2020-07-20,"North","Bolo",26,34,28,88,30
"841","Facility 30",2020-07-19,2020-07-20,"North","Bolo",19,24,31,74,30
"842","Facility 10",2020-07-20,2020-07-20,"North","Bolo",0,11,8,19,10
"843","Facility 19",2020-07-19,2020-07-20,"North","Bolo",23,6,40,69,19
"844","Facility 26",2020-07-18,2020-07-20,"North","Bolo",4,5,10,19,26
"845","Facility 49",2020-07-19,2020-07-20,"North","Dingo",0,0,0,0,49
"846","Facility 33",2020-07-19,2020-07-20,"North","Barnard",8,8,11,27,33
"847","Facility 33",2020-07-18,2020-07-20,"North","Barnard",1,3,11,15,33
"848","Facility 33",2020-07-16,2020-07-20,"North","Barnard",3,5,16,24,33
"849","Facility 29",2020-07-19,2020-07-20,"North","Dingo",23,19,14,56,29
"850","Facility 21",2020-07-20,2020-07-20,"North","Bolo",35,0,1,36,21
"851","Facility 47",2020-07-19,2020-07-20,"North","Barnard",30,15,45,90,47
"852","Facility 22",2020-07-16,2020-07-20,"North","Bolo",0,0,0,0,22
"853","Facility 12",2020-07-19,2020-07-20,"North","Dingo",49,27,56,132,12
"854","Facility 42",2020-07-19,2020-07-20,"North","Dingo",24,11,23,58,42
"855","Facility 42",2020-07-18,2020-07-20,"North","Dingo",29,9,28,66,42
"856","Facility 42",2020-07-16,2020-07-20,"North","Dingo",20,13,12,45,42
"857","Facility 42",2020-07-15,2020-07-20,"North","Dingo",30,7,23,60,42
"858","Facility 55",2020-07-19,2020-07-20,"North","Bolo",15,5,22,42,55
"859","Facility 37",2020-07-19,2020-07-20,"North","Bolo",46,6,59,111,37
"860","Facility 55",2020-07-18,2020-07-20,"North","Bolo",19,10,47,76,55
"861","Facility 16",2020-07-19,2020-07-20,"North","Barnard",2,5,5,12,16
"862","Facility 13",2020-07-19,2020-07-20,"North","Bolo",0,0,0,0,13
"863","Facility 22",2020-07-10,2020-07-20,"North","Bolo",0,0,0,0,22
"864","Facility 15",2020-07-19,2020-07-20,"North","Barnard",8,15,1,24,15
"865","Facility 9",2020-07-19,2020-07-20,"North","Spring",58,42,37,137,9
"866","Facility 23",2020-07-19,2020-07-20,"North","Dingo",5,9,19,33,23
"867","Facility 3",2020-07-20,2020-07-20,"North","Dingo",13,5,9,27,3
"868","Facility 24",2020-07-19,2020-07-20,"North","Bolo",16,15,53,84,24
"869","Facility 11",2020-07-18,2020-07-20,"North","Spring",80,47,33,160,11
"870","Facility 48",2020-07-19,2020-07-20,"North","Dingo",17,22,30,69,48
"871","Facility 18",2020-07-19,2020-07-20,"North","Bolo",5,3,10,18,18
"872","Facility 22",2020-07-19,2020-07-20,"North","Bolo",12,7,9,28,22
"873","Facility 40",2020-07-19,2020-07-20,"North","Barnard",21,18,13,52,40
"874","Facility 41",2020-07-19,2020-07-20,"North","Barnard",11,2,26,39,41
"875","Facility 61",2020-07-18,2020-07-19,"North","Barnard",14,11,19,44,61
"876","Facility 57",2020-07-19,2020-07-19,"North","Barnard",10,10,22,42,57
"877","Facility 57",2020-07-19,2020-07-19,"North","Barnard",10,10,22,42,57
"878","Facility 52",2020-06-21,2020-07-04,"North","Bolo",20,6,33,59,52
"879","Facility 52",2020-06-23,2020-07-04,"North","Bolo",16,2,32,50,52
"880","Facility 52",2020-06-24,2020-07-04,"North","Bolo",21,3,13,37,52
"881","Facility 22",2020-06-28,2020-06-30,"North","Bolo",17,2,12,31,22
"882","Facility 2",2020-07-18,2020-07-19,"North","Bolo",26,26,56,108,2
"883","Facility 38",2020-07-19,2020-07-19,"North","Bolo",15,8,9,32,38
"884","Facility 50",2020-07-18,2020-07-19,"North","Spring",108,10,52,170,50
"885","Facility 4",2020-07-19,2020-07-19,"North","Bolo",20,0,21,41,4
"886","Facility 14",2020-07-19,2020-07-19,"North","Dingo",10,9,17,36,14
"887","Facility 34",2020-07-19,2020-07-19,"North","Dingo",8,8,15,31,34
"888","Facility 41",2020-07-18,2020-07-19,"North","Barnard",24,10,51,85,41
"889","Facility 54",2020-07-18,2020-07-19,"North","Barnard",20,22,30,72,54
"890","Facility 10",2020-07-19,2020-07-19,"North","Bolo",0,10,24,34,10
"891","Facility 29",2020-07-18,2020-07-19,"North","Dingo",15,37,37,89,29
"892","Facility 53",2020-07-19,2020-07-19,"North","Bolo",19,3,4,26,53
"893","Facility 53",2020-07-18,2020-07-19,"North","Bolo",19,4,12,35,53
"894","Facility 53",2020-07-17,2020-07-19,"North","Bolo",0,0,0,0,53
"895","Facility 19",2020-07-18,2020-07-19,"North","Bolo",17,5,52,74,19
"896","Facility 19",2020-07-18,2020-07-19,"North","Bolo",17,5,52,74,19
"897","Facility 46",2020-07-18,2020-07-19,"North","Dingo",6,4,11,21,46
"898","Facility 46",2020-07-16,2020-07-19,"North","Dingo",3,4,8,15,46
"899","Facility 4",2020-07-17,2020-07-19,"North","Bolo",0,0,0,0,4
"900","Facility 21",2020-07-19,2020-07-19,"North","Bolo",27,8,16,51,21
"901","Facility 52",2020-07-18,2020-07-19,"North","Bolo",25,15,57,97,52
"902","Facility 51",2020-07-18,2020-07-19,"North","Spring",23,14,22,59,51
"903","Facility 7",2020-07-18,2020-07-19,"North","Spring",17,21,24,62,7
"904","Facility 51",2020-07-17,2020-07-19,"North","Spring",2,1,3,6,51
"905","Facility 51",2020-07-16,2020-07-19,"North","Spring",9,6,4,19,51
"906","Facility 51",2020-07-15,2020-07-19,"North","Spring",12,8,15,35,51
"907","Facility 1",2020-07-18,2020-07-19,"North","Spring",50,33,47,130,1
"908","Facility 11",2020-07-17,2020-07-19,"North","Spring",3,1,5,9,11
"909","Facility 18",2020-07-18,2020-07-19,"North","Bolo",9,6,10,25,18
"910","Facility 49",2020-07-18,2020-07-19,"North","Dingo",10,28,12,50,49
"911","Facility 12",2020-07-18,2020-07-19,"North","Dingo",36,33,57,126,12
"912","Facility 9",2020-07-18,2020-07-19,"North","Spring",54,20,41,115,9
"913","Facility 47",2020-07-18,2020-07-19,"North","Barnard",34,33,34,101,47
"914","Facility 13",2020-07-18,2020-07-19,"North","Bolo",0,0,0,0,13
"915","Facility 16",2020-07-18,2020-07-19,"North","Barnard",40,28,43,111,16
"916","Facility 23",2020-07-18,2020-07-19,"North","Dingo",4,17,25,46,23
"917","Facility 37",2020-07-18,2020-07-19,"North","Bolo",12,5,56,73,37
"918","Facility 23",2020-07-17,2020-07-19,"North","Dingo",0,0,0,0,23
"919","Facility 23",2020-07-16,2020-07-19,"North","Dingo",0,0,0,0,23
"920","Facility 20",2020-07-18,2020-07-19,"North","Barnard",28,14,31,73,20
"921","Facility 3",2020-07-19,2020-07-19,"North","Dingo",25,9,16,50,3
"922","Facility 60",2020-07-18,2020-07-19,"North","Bolo",16,16,19,51,60
"923","Facility 23",2020-07-15,2020-07-19,"North","Dingo",8,11,15,34,23
"924","Facility 15",2020-07-18,2020-07-19,"North","Barnard",34,27,36,97,15
"925","Facility 25",2020-07-18,2020-07-19,"North","Bolo",0,1,3,4,25
"926","Facility 24",2020-07-18,2020-07-19,"North","Bolo",35,0,74,109,24
"927","Facility 25",2020-07-17,2020-07-19,"North","Bolo",0,0,0,0,25
"928","Facility 25",2020-07-16,2020-07-19,"North","Bolo",0,0,0,0,25
"929","Facility 27",2020-07-18,2020-07-19,"North","Spring",9,14,8,31,27
"930","Facility 25",2020-07-15,2020-07-19,"North","Bolo",0,0,2,2,25
"931","Facility 45",2020-07-18,2020-07-19,"North","Barnard",52,47,29,128,45
"932","Facility 34",2020-07-18,2020-07-19,"North","Dingo",11,15,30,56,34
"933","Facility 48",2020-07-18,2020-07-19,"North","Dingo",13,11,35,59,48
"934","Facility 40",2020-07-18,2020-07-19,"North","Barnard",33,29,38,100,40
"935","Facility 41",2020-07-17,2020-07-18,"North","Barnard",8,6,10,24,41
"936","Facility 41",2020-07-16,2020-07-18,"North","Barnard",16,14,43,73,41
"937","Facility 41",2020-07-15,2020-07-18,"North","Barnard",8,7,22,37,41
"938","Facility 52",2020-07-17,2020-07-18,"North","Bolo",17,9,41,67,52
"939","Facility 52",2020-07-16,2020-07-18,"North","Bolo",16,8,8,32,52
"940","Facility 52",2020-07-15,2020-07-18,"North","Bolo",23,14,68,105,52
"941","Facility 52",2020-07-14,2020-07-18,"North","Bolo",22,7,59,88,52
"942","Facility 52",2020-07-13,2020-07-18,"North","Bolo",14,13,76,103,52
"943","Facility 52",2020-07-12,2020-07-18,"North","Bolo",11,8,54,73,52
"944","Facility 35",2020-07-17,2020-07-18,"North","Spring",35,49,79,163,35
"945","Facility 35",2020-07-16,2020-07-18,"North","Spring",48,27,112,187,35
"946","Facility 57",2020-07-18,2020-07-18,"North","Barnard",9,16,26,51,57
"947","Facility 7",2020-07-16,2020-07-18,"North","Spring",7,3,4,14,7
"948","Facility 7",2020-07-17,2020-07-18,"North","Spring",4,0,2,6,7
"949","Facility 35",2020-07-15,2020-07-18,"North","Spring",10,12,146,168,35
"950","Facility 22",2020-07-18,2020-07-18,"North","Bolo",10,4,23,37,22
"951","Facility 38",2020-07-18,2020-07-18,"North","Bolo",13,7,18,38,38
"952","Facility 29",2020-07-17,2020-07-18,"North","Dingo",0,0,0,0,29
"953","Facility 14",2020-07-18,2020-07-18,"North","Dingo",12,11,22,45,14
"954","Facility 32",2020-07-18,2020-07-18,"North","Spring",29,37,14,80,32
"955","Facility 30",2020-07-18,2020-07-18,"North","Bolo",17,39,35,91,30
"956","Facility 10",2020-07-18,2020-07-18,"North","Bolo",0,14,14,28,10
"957","Facility 10",2020-07-17,2020-07-18,"North","Bolo",0,5,10,15,10
"958","Facility 10",2020-07-16,2020-07-18,"North","Bolo",0,2,8,10,10
"959","Facility 20",2020-07-17,2020-07-18,"North","Barnard",3,4,6,13,20
"960","Facility 52",2020-07-11,2020-07-18,"North","Bolo",16,24,51,91,52
"961","Facility 54",2020-07-15,2020-07-18,"North","Barnard",26,14,21,61,54
"962","Facility 37",2020-07-17,2020-07-18,"North","Bolo",6,2,67,75,37
"963","Facility 37",2020-07-16,2020-07-18,"North","Bolo",6,1,37,44,37
"964","Facility 24",2020-07-17,2020-07-18,"North","Bolo",12,9,45,66,24
"965","Facility 24",2020-07-16,2020-07-18,"North","Bolo",11,4,36,51,24
"966","Facility 19",2020-07-17,2020-07-18,"North","Bolo",11,0,13,24,19
"967","Facility 19",2020-07-16,2020-07-18,"North","Bolo",13,2,10,25,19
"968","Facility 19",2020-07-15,2020-07-18,"North","Bolo",21,12,18,51,19
"969","Facility 28",2020-06-27,2020-07-18,"North","Spring",57,26,43,126,28
"970","Facility 28",2020-06-26,2020-07-18,"North","Spring",2,1,0,3,28
"971","Facility 28",2020-06-26,2020-07-18,"North","Spring",2,1,0,3,28
"972","Facility 37",2020-07-15,2020-07-18,"North","Bolo",11,4,102,117,37
"973","Facility 49",2020-07-17,2020-07-18,"North","Dingo",20,20,10,50,49
"974","Facility 12",2020-07-17,2020-07-18,"North","Dingo",33,42,58,133,12
"975","Facility 36",2020-08-09,2020-08-09,"North","Dingo",5,14,14,33,36
"976","Facility 57",2020-08-09,2020-08-09,"North","Barnard",7,5,15,27,57
"977","Facility 57",2020-08-08,2020-08-09,"North","Barnard",29,19,20,68,57
"978","Facility 39",2020-07-20,2020-08-09,"North","Spring",12,11,22,45,39
"979","Facility 39",2020-07-19,2020-08-09,"North","Spring",7,21,15,43,39
"980","Facility 57",2020-08-05,2020-08-09,"North","Barnard",9,10,26,45,57
"981","Facility 39",2020-07-18,2020-08-09,"North","Spring",20,11,14,45,39
"982","Facility 57",2020-08-04,2020-08-09,"North","Barnard",10,7,12,29,57
"983","Facility 39",2020-07-17,2020-08-09,"North","Spring",17,12,11,40,39
"984","Facility 39",2020-07-16,2020-08-09,"North","Spring",15,12,18,45,39
"985","Facility 39",2020-07-15,2020-08-09,"North","Spring",18,11,8,37,39
"986","Facility 57",2020-08-03,2020-08-09,"North","Barnard",9,10,26,45,57
"987","Facility 39",2020-07-14,2020-08-09,"North","Spring",11,2,7,20,39
"988","Facility 39",2020-07-13,2020-08-09,"North","Spring",15,12,10,37,39
"989","Facility 34",2020-08-09,2020-08-09,"North","Dingo",8,8,10,26,34
"990","Facility 33",2020-08-09,2020-08-09,"North","Barnard",2,5,7,14,33
"991","Facility 33",2020-08-08,2020-08-09,"North","Barnard",2,8,8,18,33
"992","Facility 4",2020-08-09,2020-08-09,"North","Bolo",22,6,15,43,4
"993","Facility 35",2020-08-08,2020-08-09,"North","Spring",48,41,22,111,35
"994","Facility 6",2020-08-09,2020-08-09,"North","Dingo",11,9,8,28,6
"995","Facility 41",2020-08-08,2020-08-09,"North","Barnard",10,7,23,40,41
"996","Facility 62",2020-08-09,2020-08-09,"North","Barnard",9,5,18,32,62
"997","Facility 62",2020-08-08,2020-08-09,"North","Barnard",4,6,9,19,62
"998","Facility 62",2020-08-07,2020-08-09,"North","Barnard",0,0,0,0,62
"999","Facility 62",2020-08-06,2020-08-09,"North","Barnard",0,0,0,0,62
"1000","Facility 23",2020-08-09,2020-08-09,"North","Dingo",12,4,15,31,23
"1001","Facility 47",2020-08-08,2020-08-09,"North","Barnard",3,0,0,3,47
"1002","Facility 37",2020-08-08,2020-08-09,"North","Bolo",30,17,9,56,37
"1003","Facility 22",2020-08-09,2020-08-09,"North","Bolo",9,3,22,34,22
"1004","Facility 37",2020-08-07,2020-08-09,"North","Bolo",34,20,11,65,37
"1005","Facility 37",2020-08-06,2020-08-09,"North","Bolo",45,9,29,83,37
"1006","Facility 45",2020-08-09,2020-08-09,"North","Barnard",137,83,37,257,45
"1007","Facility 51",2020-08-05,2020-08-09,"North","Spring",14,8,18,40,51
"1008","Facility 51",2020-08-08,2020-08-09,"North","Spring",10,6,8,24,51
"1009","Facility 51",2020-08-06,2020-08-09,"North","Spring",10,8,14,32,51
"1010","Facility 20",2020-08-08,2020-08-09,"North","Barnard",9,2,14,25,20
"1011","Facility 32",2020-08-07,2020-08-09,"North","Spring",0,0,0,0,32
"1012","Facility 46",2020-07-27,2020-08-02,"North","Dingo",8,1,10,19,46
"1013","Facility 46",2020-07-25,2020-08-02,"North","Dingo",4,4,12,20,46
"1014","Facility 46",2020-07-22,2020-08-02,"North","Dingo",0,0,0,0,46
"1015","Facility 46",2020-08-01,2020-08-02,"North","Dingo",1,3,6,10,46
"1016","Facility 5",2020-07-30,2020-08-02,"North","Bolo",0,4,3,7,5
"1017","Facility 5",2020-07-29,2020-08-02,"North","Bolo",10,8,10,28,5
"1018","Facility 5",2020-07-28,2020-08-02,"North","Bolo",10,8,10,28,5
"1019","Facility 45",2020-08-01,2020-08-02,"North","Barnard",175,44,21,240,45
"1020","Facility 29",2020-08-01,2020-08-02,"North","Dingo",33,23,23,79,29
"1021","Facility 42",2020-08-01,2020-08-02,"North","Dingo",20,13,16,49,42
"1022","Facility 20",2020-08-01,2020-08-02,"North","Barnard",0,0,0,0,20
"1023","Facility 20",2020-07-31,2020-08-02,"North","Barnard",0,0,0,0,20
"1024","Facility 20",2020-07-30,2020-08-02,"North","Barnard",0,0,0,0,20
"1025","Facility 20",2020-07-29,2020-08-02,"North","Barnard",0,0,0,0,20
"1026","Facility 20",2020-07-28,2020-08-02,"North","Barnard",3,1,7,11,20
"1027","Facility 22",2020-08-01,2020-08-02,"North","Bolo",8,7,20,35,22
"1028","Facility 33",2020-08-01,2020-08-02,"North","Barnard",6,5,12,23,33
"1029","Facility 41",2020-08-01,2020-08-02,"North","Barnard",15,10,19,44,41
"1030","Facility 54",2020-07-29,2020-08-02,"North","Barnard",19,12,15,46,54
"1031","Facility 54",2020-07-28,2020-08-02,"North","Barnard",16,12,19,47,54
"1032","Facility 54",2020-07-30,2020-08-02,"North","Barnard",0,0,0,0,54
"1033","Facility 36",2020-08-01,2020-08-02,"North","Dingo",9,9,7,25,36
"1034","Facility 36",2020-07-31,2020-08-02,"North","Dingo",0,0,0,0,36
"1035","Facility 36",2020-07-30,2020-08-02,"North","Dingo",0,0,0,0,36
"1036","Facility 36",2020-07-29,2020-08-02,"North","Dingo",5,11,17,33,36
"1037","Facility 38",2020-08-01,2020-08-02,"North","Bolo",17,6,16,39,38
"1038","Facility 37",2020-08-01,2020-08-02,"North","Bolo",36,20,21,77,37
"1039","Facility 12",2020-08-01,2020-08-02,"North","Dingo",30,25,81,136,12
"1040","Facility 55",2020-08-01,2020-08-02,"North","Bolo",10,3,34,47,55
"1041","Facility 3",2020-08-02,2020-08-02,"North","Dingo",15,10,10,35,3
"1042","Facility 23",2020-08-01,2020-08-02,"North","Dingo",18,8,18,44,23
"1043","Facility 24",2020-08-01,2020-08-02,"North","Bolo",7,6,57,70,24
"1044","Facility 25",2020-08-01,2020-08-02,"North","Bolo",12,3,7,22,25
"1045","Facility 40",2020-08-01,2020-08-02,"North","Barnard",38,15,35,88,40
"1046","Facility 16",2020-08-01,2020-08-02,"North","Barnard",27,26,26,79,16
"1047","Facility 27",2020-08-01,2020-08-02,"North","Spring",9,14,11,34,27
"1048","Facility 25",2020-07-31,2020-08-02,"North","Bolo",0,0,0,0,25
"1049","Facility 42",2020-07-31,2020-08-02,"North","Dingo",0,0,0,0,42
"1050","Facility 25",2020-07-30,2020-08-02,"North","Bolo",0,0,0,0,25
"1051","Facility 25",2020-07-29,2020-08-02,"North","Bolo",2,3,4,9,25
"1052","Facility 42",2020-07-30,2020-08-02,"North","Dingo",1,1,4,6,42
"1053","Facility 25",2020-07-28,2020-08-02,"North","Bolo",4,5,8,17,25
"1054","Facility 48",2020-08-01,2020-08-02,"North","Dingo",10,9,16,35,48
"1055","Facility 26",2020-08-01,2020-08-02,"North","Bolo",8,5,17,30,26
"1056","Facility 18",2020-08-01,2020-08-02,"North","Bolo",10,0,7,17,18
"1057","Facility 2",2020-08-01,2020-08-02,"North","Bolo",26,15,15,56,2
"1058","Facility 2",2020-07-30,2020-08-02,"North","Bolo",10,10,18,38,2
"1059","Facility 28",2020-08-02,2020-08-02,"North","Spring",35,9,32,76,28
"1060","Facility 14",2020-08-01,2020-08-01,"North","Dingo",10,10,17,37,14
"1061","Facility 32",2020-08-01,2020-08-01,"North","Spring",49,40,40,129,32
"1062","Facility 32",2020-07-31,2020-08-01,"North","Spring",0,0,0,0,32
"1063","Facility 32",2020-07-30,2020-08-01,"North","Spring",0,0,0,0,32
"1064","Facility 32",2020-07-29,2020-08-01,"North","Spring",21,12,39,72,32
"1065","Facility 32",2020-07-28,2020-08-01,"North","Spring",29,35,34,98,32
"1066","Facility 32",2020-07-27,2020-08-01,"North","Spring",30,33,34,97,32
"1067","Facility 34",2020-08-01,2020-08-01,"North","Dingo",8,9,13,30,34
"1068","Facility 33",2020-07-30,2020-08-01,"North","Barnard",1,0,1,2,33
"1069","Facility 33",2020-07-29,2020-08-01,"North","Barnard",3,3,7,13,33
"1070","Facility 50",2020-07-31,2020-08-01,"North","Spring",0,3,6,9,50
"1071","Facility 50",2020-07-30,2020-08-01,"North","Spring",0,0,0,0,50
"1072","Facility 1",2020-07-31,2020-08-01,"North","Spring",0,0,0,0,1
"1073","Facility 1",2020-07-30,2020-08-01,"North","Spring",0,0,0,0,1
"1074","Facility 50",2020-07-29,2020-08-01,"North","Spring",32,33,58,123,50
"1075","Facility 1",2020-07-29,2020-08-01,"North","Spring",24,28,35,87,1
"1076","Facility 50",2020-07-28,2020-08-01,"North","Spring",20,15,58,93,50
"1077","Facility 37",2020-07-31,2020-08-01,"North","Bolo",24,15,79,118,37
"1078","Facility 37",2020-07-30,2020-08-01,"North","Bolo",24,6,11,41,37
"1079","Facility 37",2020-07-29,2020-08-01,"North","Bolo",35,19,7,61,37
"1080","Facility 37",2020-07-28,2020-08-01,"North","Bolo",12,29,10,51,37
"1081","Facility 10",2020-08-01,2020-08-01,"North","Bolo",0,12,29,41,10
"1082","Facility 10",2020-07-31,2020-08-01,"North","Bolo",0,5,6,11,10
"1083","Facility 10",2020-07-30,2020-08-01,"North","Bolo",0,5,8,13,10
"1084","Facility 6",2020-07-31,2020-08-01,"North","Dingo",0,0,0,0,6
"1085","Facility 6",2020-07-30,2020-08-01,"North","Dingo",5,1,0,6,6
"1086","Facility 6",2020-07-29,2020-08-01,"North","Dingo",6,5,7,18,6
"1087","Facility 58",2020-07-31,2020-08-01,"North","Spring",4,0,9,13,58
"1088","Facility 58",2020-07-30,2020-08-01,"North","Spring",6,1,4,11,58
"1089","Facility 58",2020-07-29,2020-08-01,"North","Spring",0,20,20,40,58
"1090","Facility 58",2020-07-28,2020-08-01,"North","Spring",0,5,20,25,58
"1091","Facility 58",2020-07-27,2020-08-01,"North","Spring",0,10,15,25,58
"1092","Facility 58",2020-07-26,2020-08-01,"North","Spring",0,10,40,50,58
"1093","Facility 58",2020-07-25,2020-08-01,"North","Spring",7,2,29,38,58
"1094","Facility 58",2020-07-24,2020-08-01,"North","Spring",38,9,20,67,58
"1095","Facility 58",2020-07-23,2020-08-01,"North","Spring",25,0,60,85,58
"1096","Facility 40",2020-07-31,2020-08-01,"North","Barnard",0,0,0,0,40
"1097","Facility 58",2020-07-22,2020-08-01,"North","Spring",13,2,29,44,58
"1098","Facility 40",2020-07-30,2020-08-01,"North","Barnard",3,2,4,9,40
"1099","Facility 58",2020-07-20,2020-08-01,"North","Spring",15,8,65,88,58
"1100","Facility 46",2020-07-31,2020-08-01,"North","Dingo",0,0,0,0,46
"1101","Facility 46",2020-07-30,2020-08-01,"North","Dingo",0,0,0,0,46
"1102","Facility 12",2020-07-31,2020-08-01,"North","Dingo",66,47,75,188,12
"1103","Facility 23",2020-07-31,2020-08-01,"North","Dingo",0,0,0,0,23
"1104","Facility 27",2020-07-31,2020-08-01,"North","Spring",0,0,0,0,27
"1105","Facility 23",2020-07-30,2020-08-01,"North","Dingo",0,0,0,0,23
"1106","Facility 23",2020-07-29,2020-08-01,"North","Dingo",2,4,7,13,23
"1107","Facility 27",2020-07-30,2020-08-01,"North","Spring",0,0,0,0,27
"1108","Facility 23",2020-07-28,2020-08-01,"North","Dingo",16,2,19,37,23
"1109","Facility 27",2020-07-29,2020-08-01,"North","Spring",3,8,7,18,27
"1110","Facility 23",2020-07-27,2020-08-01,"North","Dingo",12,10,10,32,23
"1111","Facility 46",2020-07-29,2020-08-01,"North","Dingo",7,3,13,23,46
"1112","Facility 29",2020-07-31,2020-08-01,"North","Dingo",4,7,5,16,29
"1113","Facility 15",2020-08-01,2020-08-01,"North","Barnard",0,0,0,0,15
